unitid,bball_power_rating,name,year,state,sector,degree_status,institution_cat,size_cat,n_firstyear_enrolled,zipcode,longitude,latitude,carneigie_cat,religious_affiliation,total_price_local,total_price_instate,total_price_outofstate,disabilities_percent,total_enrollment,percent_asian,percent_black_or_african_american,percent_hispanic,percent_white,percent_women,percent_all_distance,percent_some_distance,student_faculty_ratio,average_instructor_salary,percent_finanical_aid,percent_pell_grant,graduation_rate,require_test_score,total_applicants,total_men_applicants,total_women_applicants,total_admitted,total_men_admitted,total_women_admitted,total_enrolled,total_men_enrolled,total_women_enrolled,percent_admitted,student_service_expenses,endowment_assets,major_education,major_engineering,major_biological_sciences,major_mathematics,major_physical_sciences,major_business,retention_rate
206622,0.9211,Xavier University,2018,Ohio,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,45207-1092,-84.47465,39.149547,Master's Colleges & Universities: Larger Programs,Roman Catholic,54310,54310,54310,More than 3 percent,4995,3,9,6,76,54,5,20,11,79761,92,16,73,Required,15100,6844,8256,11143,5105,6038,1402,688,714,74,3147,28038,286,47,284,41,68,978,83
235316,0.9192,Gonzaga University,2018,Washington,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,99258-0001,-117.400625,47.666531,Doctoral/Professional Universities,Roman Catholic,59795,59795,59795,More than 3 percent,5304,5,1,11,71,53,21,0,11,86994,97,13,86,Required,8402,3770,4629,5513,2523,2988,1196,557,638,66,6758,38565,144,681,743,72,47,1406,94
150163,0.9068,Butler University,2018,Indiana,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,46208,-86.172167,39.8374,Master's Colleges & Universities: Larger Programs,Not applicable,59660,59660,59660,More than 3 percent,4698,3,4,4,82,60,0,0,11,75672,92,15,82,Required,16418,7021,9397,11137,4677,6460,1326,554,772,68,6511,45540,352,17,275,39,139,1182,88
215947,0.8902,Seton Hill University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,15601,-79.557433,40.309407,Master's Colleges & Universities: Medium Programs,Roman Catholic,51432,51432,51432,More than 3 percent,1951,1,7,3,81,65,4,25,14,67014,74,23,66,Recommended,2471,1029,1442,1853,704,1149,384,140,244,75,3560,17575,172,0,115,44,19,240,78
181002,0.8836,Creighton University,2018,Nebraska,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,68178,-95.947811,41.265361,Doctoral/Professional Universities,Roman Catholic,54952,54952,54952,More than 3 percent,4446,9,2,8,71,57,2,31,11,87041,94,14,81,Required,10112,4188,5924,7224,3054,4170,1155,482,673,71,3143,67475,26,0,274,27,89,389,90
198385,0.823,Davidson College,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,28035,-80.843979,35.499767,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),68594,68594,68594,More than 3 percent,1843,5,7,8,67,48,0,0,9,104185,75,17,90,Required,5724,2595,3129,1116,516,600,515,250,265,19,13664,410345,0,0,109,38,65,0,95
217402,0.8027,Providence College,2018,Rhode Island,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,02918-0001,-71.437446,41.842742,Master's Colleges & Universities: Larger Programs,Roman Catholic,67300,67300,67300,More than 3 percent,4132,1,4,10,77,55,1,2,11,95723,70,14,86,Considered but not required,11421,5083,6338,5593,2479,3114,1122,504,618,49,3238,51832,200,50,421,66,22,1594,91
204617,0.791,Ohio Dominican University,2018,Ohio,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,43219,-82.940689,39.992764,Master's Colleges & Universities: Larger Programs,Roman Catholic,45220,45220,45220,More than 3 percent,1188,1,26,4,51,54,6,26,14,63184,80,39,50,Considered but not required,1550,691,859,1168,534,634,260,129,131,75,4244,14841,126,15,98,12,13,217,61
154101,0.7512,Northwestern College,2018,Iowa,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,51041,-96.058772,42.999007,Baccalaureate Colleges: Diverse Fields,Reformed Church in America,44600,44600,44600,3 percent or less,1024,1,2,4,83,56,6,17,10,60609,98,27,69,Required,1316,775,541,940,513,427,271,144,127,71,5400,45542,192,0,118,34,15,196,76
195164,0.7485,St Bonaventure University,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,14778-9800,-78.481107,42.080191,Master's Colleges & Universities: Medium Programs,Roman Catholic,49136,49136,49136,More than 3 percent,1814,4,5,6,71,47,0,13,12,57819,96,28,68,Required,3163,1573,1590,2304,1140,1164,551,307,244,73,8144,35841,196,0,145,11,24,464,84
157401,0.7449,Murray State University,2018,Kentucky,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,42071-3318,-88.323629,36.612419,Master's Colleges & Universities: Larger Programs,Not applicable,23472,23472,38928,More than 3 percent,8056,1,6,2,82,60,8,29,15,62710,81,30,55,Required,8256,2924,5332,6722,2364,4358,1319,517,802,81,2837,10847,476,127,291,45,146,624,79
199847,0.7242,Wake Forest University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27106,-80.277446,36.133609,Doctoral Universities: High Research Activity,Not applicable,71638,71638,71638,More than 3 percent,5225,4,6,7,69,53,0,1,10,105028,49,10,89,Neither required nor recommended,12937,5565,7372,3803,1820,1983,1421,703,718,29,4271,158518,17,0,230,101,74,552,94
219709,0.7217,Belmont University,2018,Tennessee,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,37212-3757,-86.794807,36.135589,Doctoral/Professional Universities,Interdenominational,52760,52760,52760,More than 3 percent,6666,2,5,6,80,65,0,27,14,90714,73,17,73,Required,8210,2531,5679,6771,2036,4735,1568,561,1007,82,3441,27639,120,0,253,21,28,621,83
218070,0.6911,Furman University,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29613-6162,-82.440458,34.924676,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,65024,65024,65024,More than 3 percent,2768,2,7,6,76,59,0,0,10,86783,96,14,80,Considered but not required,5469,2213,3256,3339,1243,2096,711,293,418,61,10147,241614,34,0,141,26,90,138,89
211291,0.676,Bucknell University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17837,-76.882616,40.954317,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,72750,72750,72750,More than 3 percent,3597,6,4,7,72,51,0,0,9,102805,54,11,88,Required,10144,5231,4913,3352,1608,1744,974,459,515,33,12013,225154,72,678,417,64,89,553,92
215770,0.628,Saint Joseph's University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,19131-1395,-75.238343,39.994442,Master's Colleges & Universities: Larger Programs,Roman Catholic,61994,61994,61994,More than 3 percent,4904,3,6,7,77,55,3,17,11,94933,92,12,80,Considered but not required,8843,4006,4837,6749,3000,3749,1129,507,622,76,4998,40616,221,0,339,14,42,2347,88
143358,0.6155,Bradley University,2018,Illinois,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,61625-0001,-89.616786,40.696896,Master's Colleges & Universities: Larger Programs,Not applicable,47820,47820,47820,More than 3 percent,4606,3,7,10,73,51,0,14,12,81368,94,27,78,Required,11209,4647,6562,7489,3095,4394,1090,526,564,67,2114,53004,312,800,163,12,49,669,85
213367,0.5849,La Salle University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,19141-1199,-75.153061,40.037979,Master's Colleges & Universities: Larger Programs,Roman Catholic,47110,47110,47110,More than 3 percent,3904,5,20,19,48,62,3,7,12,86281,89,42,67,Recommended,6642,2456,4186,5392,1940,3452,1049,384,665,81,4125,16481,129,0,206,12,23,919,71
153269,0.5496,Drake University,2018,Iowa,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,50311-4505,-93.652163,41.60129,Doctoral/Professional Universities,Not applicable,56724,56724,56724,3 percent or less,3015,4,5,6,76,58,0,6,10,85597,96,17,78,Required,6886,2943,3943,4659,1928,2731,750,295,455,68,6789,53211,110,0,225,21,69,800,84
